Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.1747716710,0.0812651049,0.4263809433,0.0336966685,0.0364795424,0.0930741973,0.0987321075,0.0028992624,0.0306948283,0.0220056744
2,0.1219248593,0.0612305295,0.2322408508,0.0455449751,0.0704382585,0.1355424569,0.0537408310,0.0175893545,0.2464468082,0.0153010763
3,0.7051231946,0.0186145704,0.0028068182,0.0038674012,0.0278399996,0.0140450247,0.0393634291,0.1726345708,0.0008017210,0.0149032705
4,0.8916767723,0.0581190911,0.0017937361,0.0017987038,0.0195613827,0.0019827875,0.0147305836,0.0041112695,0.0004958811,0.0057297922
5,0.8895601367,0.0179857737,0.0011635886,0.0029978074,0.0095288086,0.0490759061,0.0089889353,0.0097086885,0.0010145826,0.0099757725
6,0.3248033571,0.0013521386,0.0022038689,0.0058076527,0.0770867023,0.0262429891,0.0270574444,0.5257258271,0.0005795776,0.0091404422
7,0.2007224762,0.0822992313,0.0343809172,0.0343438945,0.1008937993,0.1364637031,0.0854637083,0.0099710494,0.3038869677,0.0115742529
8,0.6858567041,0.0276599116,0.0022172944,0.0097121887,0.1607635669,0.0051422860,0.0544560498,0.0384323517,0.0014049237,0.0143547231
9,0.9194996764,0.0046434759,0.0014625487,0.0006742855,0.0181417287,0.0066543452,0.0130462428,0.0304996430,0.0009219512,0.0044561026
10,0.3610645039,0.5383692203,0.0205982268,0.0075360982,0.0077871518,0.0239718451,0.0058054788,0.0137503231,0.0187462921,0.0023708601
11,0.7423168226,0.0427238643,0.0031161050,0.0018826176,0.0642378796,0.0136327439,0.0766905077,0.0399328258,0.0012645491,0.0142020845
12,0.2647017000,0.0285013614,0.0165623884,0.0524108700,0.2888031657,0.0207857708,0.1028087939,0.0506839908,0.0058661182,0.1688758409
13,0.8348882415,0.0993237560,0.0116626524,0.0025926931,0.0050828125,0.0105903269,0.0155159496,0.0049830368,0.0012499069,0.0141106243
14,0.2091168357,0.0578234432,0.0135033868,0.2287360252,0.1180708295,0.0872046040,0.0416815453,0.1336018721,0.0566431952,0.0536182629
15,0.4256019718,0.0439485385,0.0046544587,0.3058860302,0.1184201360,0.0272617078,0.0379316628,0.0197298184,0.0026560217,0.0139096542
16,0.3870508923,0.0185363181,0.0033059897,0.0525909421,0.0428516211,0.0133574869,0.0508902802,0.4042492865,0.0011146715,0.0260525116
17,0.2581528422,0.2011200104,0.2636164872,0.0537125179,0.0616373042,0.0743605706,0.0301796796,0.0068843547,0.0269903288,0.0233459046
18,0.9258555889,0.0547343946,0.0019625863,0.0003465636,0.0074147191,0.0007684589,0.0054303107,0.0006889396,0.0004371302,0.0023613081
19,0.2059595129,0.0142339824,0.3517084128,0.0222689103,0.0276024092,0.3087494950,0.0149015554,0.0116772879,0.0264423999,0.0164560342
